   k                            DFT(re)                         DFT(im)
-1024.00000        0.00000000000000002210     -0.0000000000000006708200569
-1023.00000       -0.00000000000000017646     0.0000000000000003794102699
-1022.00000        0.00000000000000015290     -0.0000000000000196818517299
-1021.00000       -0.00000000000000004526     -0.0000000000000001678854718
-1020.00000       -0.00000000000000003918     -0.0000000000000000075321402
-1019.00000       -0.00000000000000003677     0.0000000000000000045504073
-1018.00000       -0.00000000000000003501     -0.0000000000000004893494266
-1017.00000       -0.00000000000000000677     -0.0000000000000003012797279
-1016.00000       -0.00000000000000003171     0.0000000000000001513609550
-1015.00000       -0.00000000000000005213     -0.0000000000000015707685883
-1014.00000        0.00000000000000000386     0.0000000000000010868545977
-1013.00000        0.00000000000000001697     0.0000000000000013491198133
-1012.00000        0.00000000000000003018     -0.0000000000000013025221900
-1011.00000        0.00000000000000000363     -0.0000000000000003646143859
-1010.00000       -0.00000000000000001113     -0.0000000000000000660587234
-1009.00000       -0.00000000000000001592     -0.0000000000000001584997908
-1008.00000        0.00000000000000001779     0.0000000000000003379444865
-1007.00000       -0.00000000000000021726     -0.0000000000000089307148824
-1006.00000        0.00000000000000000437     0.0000000000000010903336906
-1005.00000        0.00000000000000002423     0.0000000000000006918307914
-1004.00000        0.00000000000000002218     0.0000000000000003715940876
-1003.00000       -0.00000000000000001422     0.0000000000000001917145209
-1002.00000       -0.00000000000000003366     0.0000000000000000218411792
-1001.00000       -0.00000000000000003505     -0.0000000000000010264554177
-1000.00000       -0.00000000000000011126     0.0000000000000005684354134
-999.00000       -0.00000000000000017132     -0.0000000000000044578173165
-998.00000        0.00000000000000063555     0.0000000000000186255429814
-997.00000        0.00000000000000005166     0.0000000000000016590728265
-996.00000        0.00000000000000003999     0.0000000000000013618221804
-995.00000        0.00000000000000001309     0.0000000000000000710721847
-994.00000       -0.00000000000000002053     -0.0000000000000008650116093
-993.00000        0.00000000000000005468     0.0000000000000015533935641
-992.00000        0.00000000000000002910     0.0000000000000008487686832
-991.00000       -0.00000000000000002210     -0.0000000000000005692169100
-990.00000        0.00000000000000000041     -0.0000000000000000560176860
-989.00000       -0.00000000000000020924     -0.0000000000000046569344281
-988.00000        0.00000000000000000011     0.0000000000000000054078811
-987.00000       -0.00000000000000003753     -0.0000000000000006752854384
-986.00000       -0.00000000000000001024     -0.0000000000000003091270334
-985.00000        0.00000000000000019899     0.0000000000000036131802320
-984.00000        0.00000000000000011363     0.0000000000000019392717232
-983.00000       -0.00000000000000002073     -0.0000000000000002236435573
-982.00000       -0.00000000000000000214     -0.0000000000000000717908593
-981.00000       -0.00000000000000003779     -0.0000000000000006343878267
-980.00000       -0.00000000000000008344     -0.0000000000000013483704749
-979.00000        0.00000000000000000237     0.0000000000000000436246601
-978.00000        0.00000000000000001061     0.0000000000000000030813565
-977.00000       -0.00000000000000005703     -0.0000000000000008378242444
-976.00000       -0.00000000000000001444     0.0000000000000000099626912
-975.00000       -0.00000000000000010086     -0.0000000000000013559189647
-974.00000        0.00000000000000002297     0.0000000000000002014320826
-973.00000       -0.00000000000000009332     -0.0000000000000012835088720
-972.00000        0.00000000000000000978     -0.0000000000000000482811287
-971.00000        0.00000000000000045449     0.0000000000000062693048161
-970.00000        0.00000000000000005806     0.0000000000000007863430142
-969.00000        0.00000000000000020536     0.0000000000000027562839475
-968.00000       -0.00000000000000000462     -0.0000000000000001369142690
-967.00000       -0.00000000000000005699     -0.0000000000000007766958492
-966.00000       -0.00000000000000007684     -0.0000000000000009957945207
-965.00000       -0.00000000000000014661     -0.0000000000000016476215180
-964.00000       -0.00000000000000001950     -0.0000000000000002086607152
-963.00000        0.00000000000000009888     0.0000000000000011697249041
-962.00000       -0.00000000000000000047     -0.0000000000000000155925626
-961.00000        0.00000000000000046145     0.0000000000000049306960971
-960.00000       -0.00000000000000001468     -0.0000000000000002212479487
-959.00000       -0.00000000000000000051     0.0000000000000000117594593
-958.00000       -0.00000000000000033755     -0.0000000000000034570892795
